model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,cv_folds,cv_mean_f1_macro,cv_std_f1_macro,train_time_sec,predict_time_sec,selection_score
Logistic Regression,0.9349830179524503,0.8908835217399,0.9348611080620258,0.8963066023249736,0.937771575780945,5,0.9190152786165496,0.010323017105024873,4.3341,0.0044,0.9168522334218936
SVM,0.9330422125181951,0.8802419260532555,0.9074220836717819,0.8769837770564827,0.9357664101241014,5,0.8942324319704259,0.007693896244697165,12.6708,1.4237,0.8982776959758548
Random Forest,0.9121785540999515,0.8768235013635427,0.8860133696296459,0.8711180777915353,0.9145860583518606,5,0.8945478131822181,0.004969146171320149,1.0352,0.1662,0.8874766793493591
KNN,0.8956817079087821,0.8820799280672112,0.8819278757144006,0.8748965865799156,0.8977079424249331,5,0.876470914374989,0.008056977047480596,0.0076,0.5103,0.8811799811348309
XGBoost,0.9053857350800583,0.882009233578955,0.8173717371737174,0.8368825002717278,0.9058901425368641,5,0.8780953658331448,0.016146539914957243,16.2654,0.094,0.8550244492174364
Decision Tree,0.868995633187773,0.8121869173299484,0.793852348649499,0.7852814807120185,0.8718165448563688,5,0.8084904111799581,0.003699569330199014,0.247,0.0048,0.8089444532219727
